#
# (C) Copyright IBM Corporation 2011, 2016
#
# Example of trace output for avgtemp.tcl

PWR1MS_rcnt,TEMPAVG32MSP0C0_value,TEMPAVG32MSP0C1_value,TEMPAVG32MSP0C2_value,TEMPAVG32MSP0C3_value,TEMPAVG32MSP0C4_value,TEMPAVG32MSP0C5_value,TEMPAVG32MSP0C6_value,TEMPAVG32MSP0C7_value,TEMPAVG32MSP0_value,oca_counter
1530195,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,100
1530227,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,101
1530259,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,102
1530291,0.0,40.2,40.6,41.0,0.0,40.0,38.6,39.8,40.0,103
1530323,0.0,40.0,40.8,41.0,0.0,40.0,39.0,39.8,40.1,104
1530355,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,105
1530387,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,106
1530419,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,107
1530451,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,108
1530483,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,109
1530515,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,110
1530547,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,111
1530579,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,112
1530611,0.0,40.2,40.6,41.0,0.0,39.8,39.2,39.8,40.1,113
1530643,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,114
1530675,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,115
1530707,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,116
1530739,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,117
1530771,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,118
1530803,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,119
1530835,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,120
1530867,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,121
1530899,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,122
1530931,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,123
1530963,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,124
1530995,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,125
1531027,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,126
1531059,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,127
1531091,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,128
1531123,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,129
1531155,0.0,40.0,40.8,41.0,0.0,39.8,39.2,39.8,40.1,130
1531187,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,131
1531219,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,132
1531251,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,133
1531283,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,134
1531315,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,135
1531347,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,136
1531379,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,137
1531411,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,138
1531443,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,139
1531475,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,140
1531507,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,141
1531539,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,142
1531571,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,143
1531603,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,144
1531635,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,145
1531667,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,146
1531699,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,147
1531731,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,148
1531763,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,149
1531795,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,150
1531827,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,151
1531859,0.0,40.2,40.8,41.0,0.0,40.0,39.2,40.0,40.2,152
1531891,0.0,40.2,40.8,41.0,0.0,40.0,39.0,39.8,40.1,153
1531923,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,154
1531955,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,155
1531987,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,156
1532019,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,157
1532051,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,158
1532083,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,159
1532115,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,160
1532147,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,161
1532179,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,162
1532211,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,163
1532243,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,164
1532275,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,165
